mention_id,flag_index,flag
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m71,0,unlinked
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m72,0,unlinked
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m73,0,unlinked
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m74,0,unlinked
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m76,0,unlinked
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m79,0,low_linker_score
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m80,0,unlinked
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m81,0,unlinked
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m82,0,unlinked
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m83,0,unlinked
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m85,0,unlinked
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m86,0,unlinked
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m87,0,unlinked
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m88,0,unlinked
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m92,0,unlinked
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m94,0,unlinked
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m95,0,unlinked
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m96,0,unlinked
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m99,0,unlinked
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m101,0,unlinked
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m103,0,unlinked
lu_14674ef2d4b3549e6e37c8d0c252638c908c429685fd1e0b21eee935b6731acf_n0001_m104,0,unlinked
